-1 | 1:0.212242738568 2:0.0 3:0.0 4:0.00211498571484 11:0.0 13:0.0 14:0.0732673267327 21:0 22:2.07944154168 
+1 | 1:0.16041275133 2:0.857140170075 3:0.725207850533 4:0.00374150169591 11:0.00154465730948 13:0.0 14:0.0185054219708 21:0 22:4.95278770113 
-1 | 1:0.267875454761 2:0.0 3:0.0 4:0.00623263277367 11:0.0 13:0.0 14:0.0177117711771 21:0 22:0.166393482473 
-1 | 1:0.275213272233 2:0.0 3:0.0 4:0.00698038950348 11:0.0 13:0.0 14:0.0177117711771 21:0 22:3.9866129924 
-1 | 1:0.0 2:0.0 3:0.750790625695 4:0.00926717992586 11:0.0 13:0.0 14:0.0177117711771 21:0 22:1.30388059928 
-1 | 1:0.0 2:0.916715221164 3:0.0 4:0.00277994735167 11:0.0 13:0.0 14:0.0899339933993 21:0 22:2.58481444474 
-1 | 1:0.0 2:0.9075756887 3:0.0 4:0.00208481980233 11:0.0 13:0.0 14:0.0899339933993 21:0 22:3.54032588977 
-1 | 1:0.0 2:0.909235547415 3:0.0 4:0.00229966423742 11:0.0 13:0.0 14:0.0899339933993 21:0 22:3.54032588977 
-1 | 1:0.340061273448 2:0.0 3:0.0 4:0.00227229157504 11:0.0 13:0.0 14:0.043637697103 21:0 22:1.57646960015 
-1 | 1:0.0 2:0.0 3:0.0 4:0.00199600798403 11:0.0 13:0.5 14:0.0495966263293 21:0 22:4.05115151354 
-1 | 1:0.0 2:0.0 3:0.0 4:0.00199600798403 11:0.0 13:0.0 14:0.048884375617 21:0 22:4.05115151354 
-1 | 1:0.0 2:0.924404357513 3:0.0 4:0.00277994735167 11:0.0 13:0.0 14:0.043637697103 21:0 22:2.62844767231 
+1 | 1:0.0 2:0.0 3:0.630961783786 4:0.00670701607538 11:0.0 13:0.0 14:0.0262085032033 21:0 22:1.58601621204 
+1 | 1:0.259761391807 2:0.0 3:0.0 4:0.00311320318365 11:0.0 13:0.0 14:0.00990099009901 21:0 22:2.07898742826 
-1 | 1:0.0 2:0.0 3:0.748969811705 4:0.00698038950348 11:0.0 13:0.0 14:0.00990099009901 21:0 22:2.40249288795 
-1 | 1:0.0 2:0.0 3:0.717437495271 4:0.00241644831943 11:0.0 13:0.0 14:0.00990099009901 21:0 22:1.46338747831 
-1 | 1:0.0 2:0.921590344537 3:0.0 4:0.0020165430456 11:0.0 13:0.0 14:0.00990099009901 21:0 22:1.55794606093 
+1 | 1:0.0 2:0.875 3:0.0 4:0.00211683551137 11:0.0 13:0.0 14:0.0262085032033 21:0 22:0.757775509966 
